seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
248,1777463537583676390,1777463537613635717,29959327
249,1777463537623853251,1777463537638974359,15121108
250,1777463537649111787,1777463537690745854,41634067
251,1777463537700881536,1777463537723303773,22422237
252,1777463537733430600,1777463537743719168,10288568
253,1777463537753863041,1777463537758566488,4703447
254,1777463537768712296,1777463537787774245,19061949
255,1777463537797889559,1777463537872204362,74314803
256,1777463537882332906,1777463537891470050,9137144
257,1777463537901636957,1777463537965904702,64267745
258,1777463537976034882,1777463537997872850,21837968
259,1777463538008103484,1777463538101322719,93219235
260,1777463538111461701,1777463538124845652,13383951
261,1777463538135058106,1777463538150327793,15269687
262,1777463538160462257,1777463538174031261,13569004
263,1777463538184287073,1777463538208107765,23820692
264,1777463538218348653,1777463538239184679,20836026
265,1777463538249317785,1777463538264492092,15174307
266,1777463538274641797,1777463538278466585,3824788
267,1777463538288602922,1777463538306435156,17832234
268,1777463538316692770,1777463538356534228,39841458
269,1777463538366684633,1777463538372335425,5650792
270,1777463538382481496,1777463538389824507,7343011
271,1777463538399981281,1777463538402843492,2862211
272,1777463538412986509,1777463538434791680,21805171
273,1777463538444932220,1777463538472876236,27944016
274,1777463538483049761,1777463538520436324,37386563
275,1777463538530648720,1777463538545510310,14861590
276,1777463538555779643,1777463538575056324,19276681
277,1777463538585305593,1777463538589272659,3967066
278,1777463538599500034,1777463538620560490,21060456
279,1777463538630704858,1777463538647119050,16414192
280,1777463538657244018,1777463538670388956,13144938
281,1777463538680602121,1777463538687474870,6872749
282,1777463538697622968,1777463538713440025,15817057
283,1777463538723609244,1777463538728032720,4423476
284,1777463538738376805,1777463538741568802,3191997
285,1777463538751761015,1777463538766915722,15154707
286,1777463538777182976,1777463538782777846,5594870
287,1777463538792928941,1777463538801871983,8943042
288,1777463538812088600,1777463538819610876,7522276
289,1777463538829829963,1777463538841301334,11471371
290,1777463538851447255,1777463538869110429,17663174
291,1777463538879226682,1777463538905317188,26090506
292,1777463538915437917,1777463538921732198,6294281
293,1777463538931924890,1777463538943493679,11568789
294,1777463538953651851,1777463538956208266,2556415
295,1777463538966325911,1777463538971353183,5027272
296,1777463538981479081,1777463538992942322,11463241
297,1777463539003160123,1777463539015603080,12442957
298,1777463539025773621,1777463539038006293,12232672
299,1777463539048098393,1777463539057345459,9247066
300,1777463539067491923,1777463539073583077,6091154
301,1777463539083709614,1777463539099849389,16139775
302,1777463539110127666,1777463539124445964,14318298
303,1777463539134671567,1777463539148632613,13961046
304,1777463539158774781,1777463539161756875,2982094
305,1777463539171988296,1777463539175836028,3847732
306,1777463539186112312,1777463539191368221,5255909
307,1777463539201604123,1777463539263607059,62002936
308,1777463539273730552,1777463539277961565,4231013
309,1777463539288138456,1777463539331112970,42974514
310,1777463539341235746,1777463539364823675,23587929
311,1777463539374960196,1777463539392419361,17459165
312,1777463539402569321,1777463539407218588,4649267
313,1777463539417473197,1777463539431823026,14349829
314,1777463539442056113,1777463539455620517,13564404
315,1777463539465786531,1777463539499304273,33517742
316,1777463539509543447,1777463539515717463,6174016
317,1777463539525867396,1777463539532671950,6804554
318,1777463539542813492,1777463539553325492,10512000
319,1777463539563460873,1777463539569353051,5892178
320,1777463539579470484,1777463539585340489,5870005
321,1777463539595508390,1777463539610148576,14640186
322,1777463539620341130,1777463539645371213,25030083
323,1777463539655621055,1777463539701544182,45923127
324,1777463539711803450,1777463539715581959,3778509
325,1777463539725755947,1777463539734274289,8518342
326,1777463539744517023,1777463539754920003,10402980
327,1777463539765172906,1777463539774543821,9370915
328,1777463539784678337,1777463539810214359,25536022
329,1777463539820350644,1777463539834738059,14387415
330,1777463539844854515,1777463539853941173,9086658
331,1777463539864098703,1777463539868129902,4031199
332,1777463539878234844,1777463539890110997,11876153
