seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
415,1777463868156084418,1777463868164433037,8348619
416,1777463868174567062,1777463868177358454,2791392
417,1777463868187606869,1777463868195901988,8295119
418,1777463868206049187,1777463868274113911,68064724
419,1777463868284276678,1777463868290180823,5904145
420,1777463868300324633,1777463868302260328,1935695
421,1777463868312531206,1777463868323218447,10687241
422,1777463868333355183,1777463868455713354,122358171
423,1777463868465885466,1777463868479236470,13351004
424,1777463868489405711,1777463868492771755,3366044
425,1777463868502949082,1777463868504942448,1993366
426,1777463868515113606,1777463868530862441,15748835
427,1777463868540994829,1777463868553991653,12996824
428,1777463868564092193,1777463868570742649,6650456
429,1777463868580970449,1777463868584506337,3535888
430,1777463868594633042,1777463868596104703,1471661
431,1777463868606246485,1777463868607852155,1605670
432,1777463868618007316,1777463868643537953,25530637
433,1777463868653694538,1777463868655628195,1933657
434,1777463868665789761,1777463868670943254,5153493
435,1777463868681202277,1777463868687545082,6342805
436,1777463868697710235,1777463868700177644,2467409
437,1777463868710306420,1777463868712910603,2604183
438,1777463868723051661,1777463868730007641,6955980
439,1777463868740148842,1777463868758404900,18256058
440,1777463868768548372,1777463868787425678,18877306
441,1777463868797586128,1777463868800583642,2997514
442,1777463868810745434,1777463868812932599,2187165
443,1777463868823186704,1777463868834864007,11677303
444,1777463868844988709,1777463868850600168,5611459
445,1777463868860763589,1777463868863851703,3088114
446,1777463868874145188,1777463868891160904,17015716
447,1777463868901307128,1777463868912435050,11127922
448,1777463868922631600,1777463868937039853,14408253
449,1777463868947233936,1777463868950014376,2780440
450,1777463868960179606,1777463868964673938,4494332
451,1777463868974826496,1777463868980590091,5763595
452,1777463868990783221,1777463868993033126,2249905
453,1777463869003192514,1777463869006398484,3205970
454,1777463869016664958,1777463869018256860,1591902
455,1777463869028389757,1777463869035882167,7492410
456,1777463869046027664,1777463869047652082,1624418
457,1777463869057807293,1777463869063860320,6053027
458,1777463869074038003,1777463869076336054,2298051
459,1777463869086469832,1777463869165607759,79137927
460,1777463869175871452,1777463869177637823,1766371
461,1777463869187805141,1777463869236935678,49130537
462,1777463869247105975,1777463869279257887,32151912
463,1777463869289416319,1777463869324751965,35335646
464,1777463869334923084,1777463869344762523,9839439
465,1777463869354989079,1777463869382378468,27389389
466,1777463869392551895,1777463869415818866,23266971
467,1777463869425977811,1777463869427935254,1957443
468,1777463869438234835,1777463869446767019,8532184
469,1777463869457002908,1777463869469339242,12336334
470,1777463869479637436,1777463869485455605,5818169
471,1777463869495770736,1777463869547123036,51352300
472,1777463869557276203,1777463869574763895,17487692
473,1777463869584919385,1777463869667995903,83076518
474,1777463869678231357,1777463869680264099,2032742
475,1777463869690428731,1777463869692015825,1587094
476,1777463869702195572,1777463869708597584,6402012
477,1777463869718787988,1777463869721563323,2775335
478,1777463869731828782,1777463869734345900,2517118
479,1777463869744642398,1777463869749295117,4652719
480,1777463869759531965,1777463869768637094,9105129
481,1777463869778980795,1777463869781943127,2962332
482,1777463869792089197,1777463869794535421,2446224
483,1777463869804718593,1777463869810385614,5667021
484,1777463869820517784,1777463869822255126,1737342
485,1777463869832426551,1777463869835121114,2694563
486,1777463869845269607,1777463869853951717,8682110
487,1777463869864237243,1777463869873094440,8857197
488,1777463869883230116,1777463869885030859,1800743
489,1777463869895229289,1777463869897370764,2141475
490,1777463869907675450,1777463869914115641,6440191
491,1777463869924325924,1777463869937894243,13568319
492,1777463869948093804,1777463869964539196,16445392
493,1777463869974824603,1777463869981271234,6446631
494,1777463869991498604,1777463869993239178,1740574
495,1777463870003376294,1777463870004946132,1569838
496,1777463870015112920,1777463870016815611,1702691
497,1777463870027043170,1777463870028930530,1887360
